FILE,BILL_NO,RUNNING_BIL,WO_NO,JOB,BILL_PERIOD,TAX_AMT,CURRENT_BILL_AMOUNT,TOTAL_AMT,TDS,RETENTION,SUB_CONTRACT_LABOUR,PF_OR_EPS_RECOVERED,ESI_EMPLOYERS_CONTRIBUTION,ESI_EMPLOYEES_CONTN_SUB_WORKER,ROUNDING_OFF
EE917BIL8001111.pdf,EE917BIL8001111,1,EE917WOD8000197,MukkolaKL/TNBorderRoadProject,26-Aug-2018 - 25-Sep-2018,45020.28,250112.70,295132.98,2501.00,12506.00,0.00,0.00,0.00,0.00,-0.02
EE917BIL8001061.pdf,EE917BIL8001061,1,EE917WOD8000206,MukkolaKL/TNBorderRoadProject,01-Sep-2018 - 25-Sep-2018,9000.54,50003.00,59003.54,500.00,2500.00,0.00,8852.00,0.00,0.00,-0.46
EE500BIL8001374.pdf,EE500BIL8001374,8,EE500WOD7000236,Yadgiri Warangal Road Project,21-May-2018 - 20-Jun-2018,194353.02,1079739.00,1274092.02,10797.00,26993.00,12740.00,0.00,0.00,15430.00,0.02
EE500BIL8002323.pdf,EE500BIL8002323,11,EE500WOD7000236,Yadgiri Warangal Road Project,21-Aug-2018 - 20-Sep-2018,324560.78,1803115.50,2127676.28,18031.00,45078.00,21276.00,0.00,0.00,0.00,0.28
EE737BIL8000700.pdf,EE737BIL8000700,1,EE737WOD8000281,TN/KL Border Villukuri Road Project,17-Aug-2018 - 20-Sep-2018,151252.46,840291.48,991543.94,8403.00,42015.00,0.00,0.00,0.00,0.00,-0.06
EE500BIL8001897.pdf,EE500BIL8001897,10,EE500WOD7000236,Yadgiri Warangal Road Project,21-Jul-2018 - 20-Aug-2018,298783.62,1659909.00,1958692.62,16599.00,41498.00,19586.00,0.00,0.00,6883.00,-0.38
EE500BIL8000722.pdf,EE500BIL8000722,5,EE500WOD7000236,Yadgiri Warangal Road Project,21-Feb-2018 - 20-Mar-2018,303724.40,1687357.80,1991082.20,16874.00,42184.00,19910.00,0.00,0.00,2000.00,0.20
EE500BIL9000619.pdf,EE500BIL9000619,14,EE500WOD7000236,Yadgiri Warangal Road Project,21-Dec-2018 - 20-Feb-2019,565674.66,3142637.18,3708311.84,31426.00,78566.00,37083.00,0.00,0.00,0.00,-0.16
EE738BIL9000071.pdf,EE738BIL9000071,3,EE738WOD8000143,Villukuri Kanyakumari Road Project,21-Oct-2018 - 20-Dec-2018,243593.64,1353298.00,1596891.64,13533.00,67665.00,0.00,0.00,0.00,0.00,-0.36
EE738BIL8000489.pdf,EE738BIL8000489,1,EE738WOD8000143,Villukuri Kanyakumari Road Project,20-Jul-2018 - 20-Aug-2018,691903.54,3843908.60,4535812.14,38439.00,192195.00,0.00,0.00,8264.00,3045.00,0.14
